Temporada,Player,Salario,Salario Ajustado Inflacion,Temporada,Player - Temporada
2018/19,Allen Crabbe,"19,332,500","24,103,386",2018,Allen Crabbe - 2018
2018/19,Enes Kanter,"19,264,603","24,018,733",2018,Enes Kanter - 2018
2018/19,Tyler Johnson,"19,245,370","23,994,754",2018,Tyler Johnson - 2018
2018/19,John Wall,"19,169,800","23,900,535",2018,John Wall - 2018
2018/19,Jeff Teague,"19,000,000","23,688,831",2018,Jeff Teague - 2018
2018/19,George Hill,"19,000,000","23,688,831",2018,George Hill - 2018
2018/19,Klay Thompson,"18,988,725","23,674,774",2018,Klay Thompson - 2018
2018/19,Goran Dragic,"18,109,175","22,578,168",2018,Goran Dragic - 2018
2018/19,Kent Bazemore,"18,089,888","22,554,121",2018,Kent Bazemore - 2018
2018/19,Evan Turner,"17,868,853","22,278,539",2018,Evan Turner - 2018
2018/19,Draymond Green,"17,469,565","21,780,714",2018,Draymond Green - 2018
2018/19,Tristan Thompson,"17,469,565","21,780,714",2018,Tristan Thompson - 2018
2018/19,Tim Hardaway Jr,"17,325,000","21,600,474",2018,Tim Hardaway Jr - 2018
2018/19,Pau Gasol,"17,133,285","21,361,447",2018,Pau Gasol - 2018
2018/19,Reggie Jackson,"17,043,478","21,249,477",2018,Reggie Jackson - 2018
2018/19,Evan Fournier,"17,000,000","21,195,270",2018,Evan Fournier - 2018
2018/19,Bismack Biyombo,"17,000,000","21,195,270",2018,Bismack Biyombo - 2018
2018/19,Derrick Favors,"16,900,000","21,070,592",2018,Derrick Favors - 2018
2018/19,Luol Deng,"16,747,954","20,881,023",2018,Luol Deng - 2018
2018/19,Jonas Valanciunas,"16,539,326","20,620,911",2018,Jonas Valanciunas - 2018
2018/19,Gary Harris,"16,517,857","20,594,143",2018,Gary Harris - 2018
2018/19,Ian Mahinmi,"16,000,000","19,948,489",2018,Ian Mahinmi - 2018
2018/19,Timofey Mozgov,"16,000,000","19,948,489",2018,Timofey Mozgov - 2018
2018/19,Andre Iguodala,"16,000,000","19,948,489",2018,Andre Iguodala - 2018
2018/19,Clint Capela,"15,793,104","19,690,535",2018,Clint Capela - 2018
2018/19,Dennis Schroeder,"15,500,000","19,325,099",2018,Dennis Schroeder - 2018
2018/19,DeMarre Carroll,"15,400,000","19,200,421",2018,DeMarre Carroll - 2018
2018/19,Gorgui Dieng,"15,170,787","18,914,643",2018,Gorgui Dieng - 2018
2018/19,Trevor Ariza,"15,000,000","18,701,709",2018,Trevor Ariza - 2018
2018/19,Eric Bledsoe,"15,000,000","18,701,709",2018,Eric Bledsoe - 2018
2018/19,Ricky Rubio,"14,800,000","18,452,353",2018,Ricky Rubio - 2018
2018/19,Tobias Harris,"14,800,000","18,452,353",2018,Tobias Harris - 2018
2018/19,JR Smith,"14,720,000","18,352,610",2018,JR Smith - 2018
2018/19,Brandon Knight,"14,631,250","18,241,958",2018,Brandon Knight - 2018
2018/19,James Johnson,"14,420,700","17,979,449",2018,James Johnson - 2018
2018/19,Robin Lopez,"14,357,750","17,900,964",2018,Robin Lopez - 2018
2018/19,Kenneth Faried,"14,242,782","17,757,624",2018,Kenneth Faried - 2018
2018/19,Marvin Williams,"14,087,500","17,564,021",2018,Marvin Williams - 2018
2018/19,Taj Gibson,"14,000,000","17,454,928",2018,Taj Gibson - 2018
2018/19,Thaddeus Young,"13,764,045","17,160,744",2018,Thaddeus Young - 2018
2018/19,Tyson Chandler,"13,585,000","16,937,514",2018,Tyson Chandler - 2018
2018/19,Marcin Gortat,"13,565,218","16,912,850",2018,Marcin Gortat - 2018
2018/19,Kelly Olynyk,"13,537,527","16,878,326",2018,Kelly Olynyk - 2018
2018/19,Cody Zeller,"13,528,090","16,866,560",2018,Cody Zeller - 2018
2018/19,Eric Gordon,"13,500,375","16,832,005",2018,Eric Gordon - 2018
2018/19,Austin Rivers,"13,155,324","16,401,802",2018,Austin Rivers - 2018
2018/19,Khris Middleton,"13,000,000","16,208,147",2018,Khris Middleton - 2018
2018/19,Michael Kidd-Gilchrist,"13,000,000","16,208,147",2018,Michael Kidd-Gilchrist - 2018
2018/19,Mason Plumlee,"12,917,808","16,105,672",2018,Mason Plumlee - 2018
2018/19,Wilson Chandler,"12,800,562","15,959,492",2018,Wilson Chandler - 2018
2018/19,Solomon Hill,"12,763,467","15,913,243",2018,Solomon Hill - 2018
2018/19,Nikola Vucevic,"12,750,000","15,896,452",2018,Nikola Vucevic - 2018
2018/19,Dion Waiters,"12,705,000","15,840,347",2018,Dion Waiters - 2018
2018/19,Joe Ingles,"12,545,455","15,641,430",2018,Joe Ingles - 2018
2018/19,Jeremy Lin,"12,516,746","15,605,635",2018,Jeremy Lin - 2018
2018/19,Nikola Mirotic,"12,500,000","15,584,757",2018,Nikola Mirotic - 2018
2018/19,Jordan Clarkson,"12,500,000","15,584,757",2018,Jordan Clarkson - 2018
2018/19,Tyreke Evans,"12,400,000","15,460,079",2018,Tyreke Evans - 2018
2018/19,Miles Plumlee,"12,400,000","15,460,079",2018,Miles Plumlee - 2018
2018/19,Courtney Lee,"12,253,780","15,277,775",2018,Courtney Lee - 2018
2018/19,JJ Redick,"12,250,000","15,273,062",2018,JJ Redick - 2018
2018/19,Avery Bradley,"12,000,000","14,961,367",2018,Avery Bradley - 2018
2018/19,Kentavious Caldwell-Pope,"12,000,000","14,961,367",2018,Kentavious Caldwell-Pope - 2018
2018/19,Kemba Walker,"12,000,000","14,961,367",2018,Kemba Walker - 2018
2018/19,Will Barton,"11,830,358","14,749,861",2018,Will Barton - 2018
2018/19,TJ Warren,"11,750,000","14,649,672",2018,TJ Warren - 2018
2018/19,Zach Randolph,"11,692,308","14,577,742",2018,Zach Randolph - 2018
2018/19,Patrick Mills,"11,571,429","14,427,033",2018,Patrick Mills - 2018
2018/19,Alec Burks,"11,536,515","14,383,503",2018,Alec Burks - 2018
2018/19,Omer Asik,"11,286,516","14,071,809",2018,Omer Asik - 2018
2018/19,Marcus Smart,"11,160,716","13,914,964",2018,Marcus Smart - 2018
2018/19,Jusuf Nurkic,"11,111,111","13,853,117",2018,Jusuf Nurkic - 2018
2018/19,Iman Shumpert,"11,011,234","13,728,593",2018,Iman Shumpert - 2018
2018/19,Moe Harkless,"10,837,079","13,511,460",2018,Moe Harkless - 2018
2018/19,Tony Snell,"10,607,143","13,224,780",2018,Tony Snell - 2018
2018/19,Dante Exum,"10,600,000","13,215,874",2018,Dante Exum - 2018
2018/19,Meyers Leonard,"10,595,506","13,210,271",2018,Meyers Leonard - 2018
2018/19,John Henson,"10,577,466","13,187,779",2018,John Henson - 2018
2018/19,Terrence Ross,"10,500,000","13,091,196",2018,Terrence Ross - 2018
2018/19,Mirza Teletovic,"10,500,000","13,091,196",2018,Mirza Teletovic - 2018
2018/19,Bojan Bogdanovic,"10,500,000","13,091,196",2018,Bojan Bogdanovic - 2018
2018/19,Robert Covington,"10,464,092","13,046,427",2018,Robert Covington - 2018
2018/19,Rudy Gay,"10,087,200","12,576,525",2018,Rudy Gay - 2018
2018/19,Jon Leuer,"10,002,681","12,471,148",2018,Jon Leuer - 2018
2018/19,Danny Green,"10,000,000","12,467,806",2018,Danny Green - 2018
2018/19,Andre Roberson,"10,000,000","12,467,806",2018,Andre Roberson - 2018
2018/19,Darren Collison,"10,000,000","12,467,806",2018,Darren Collison - 2018
2018/19,Dwight Powell,"9,631,250","12,008,055",2018,Dwight Powell - 2018
2018/19,Matthew Dellavedova,"9,607,500","11,978,444",2018,Matthew Dellavedova - 2018
2018/19,Jared Dudley,"9,530,000","11,881,819",2018,Jared Dudley - 2018
2018/19,Boban Marjanovic,"9,490,740","11,832,870",2018,Boban Marjanovic - 2018
2018/19,Norman Powell,"9,367,200","11,678,843",2018,Norman Powell - 2018
2018/19,Josh Richardson,"9,367,200","11,678,843",2018,Josh Richardson - 2018
2018/19,Markieff Morris,"9,173,294","11,437,084",2018,Markieff Morris - 2018
2018/19,Bogdan Bogdanovic,"9,000,000","11,221,025",2018,Bogdan Bogdanovic - 2018
2018/19,Rajon Rondo,"9,000,000","11,221,025",2018,Rajon Rondo - 2018
2018/19,E'Twaun Moore,"8,808,685","10,982,497",2018,E'Twaun Moore - 2018
2018/19,Kosta Koufos,"8,739,500","10,896,239",2018,Kosta Koufos - 2018
2018/19,Fred VanVleet,"8,653,847","10,789,448",2018,Fred VanVleet - 2018
2018/19,Wayne Ellington,"8,653,076","10,788,486",2018,Wayne Ellington - 2018
2018/19,Julius Randle,"8,641,000","10,773,431",2018,Julius Randle - 2018
2018/19,Kyle Anderson,"8,641,000","10,773,431",2018,Kyle Anderson - 2018
2018/19,Jerryd Bayless,"8,575,916","10,692,285",2018,Jerryd Bayless - 2018
2018/19,Cristiano Felicio,"8,470,980","10,561,453",2018,Cristiano Felicio - 2018
2018/19,Markelle Fultz,"8,339,880","10,398,000",2018,Markelle Fultz - 2018
2018/19,Jerami Grant,"8,333,333","10,389,838",2018,Jerami Grant - 2018
2018/19,CJ Miles,"8,333,333","10,389,838",2018,CJ Miles - 2018
2018/19,Joe Harris,"8,333,333","10,389,838",2018,Joe Harris - 2018
2018/19,Shaun Livingston,"8,307,692","10,357,869",2018,Shaun Livingston - 2018
2018/19,Deandre Ayton,"8,175,840","10,193,478",2018,Deandre Ayton - 2018
2018/19,JaMychal Green,"8,066,667","10,057,364",2018,JaMychal Green - 2018
2018/19,Garrett Temple,"8,000,000","9,974,244",2018,Garrett Temple - 2018
2018/19,Louis Williams,"8,000,000","9,974,244",2018,Louis Williams - 2018
2018/19,PJ Tucker,"7,959,537","9,923,796",2018,PJ Tucker - 2018
2018/19,Cory Joseph,"7,945,000","9,905,671",2018,Cory Joseph - 2018
2018/19,Karl-Anthony Towns,"7,839,435","9,774,055",2018,Karl-Anthony Towns - 2018
2018/19,Kyle Korver,"7,560,000","9,425,661",2018,Kyle Korver - 2018
2018/19,Darrell Arthur,"7,464,912","9,307,107",2018,Darrell Arthur - 2018
2018/19,Lonzo Ball,"7,461,960","9,303,427",2018,Lonzo Ball - 2018
2018/19,Doug McDermott,"7,333,334","9,143,058",2018,Doug McDermott - 2018
2018/19,Marvin Bagley,"7,314,960","9,120,150",2018,Marvin Bagley - 2018
2018/19,Jae Crowder,"7,305,825","9,108,760",2018,Jae Crowder - 2018
2018/19,DJ Augustin,"7,250,000","9,039,159",2018,DJ Augustin - 2018
2018/19,Lance Thomas,"7,119,650","8,876,641",2018,Lance Thomas - 2018
2018/19,D'Angelo Russell,"7,019,698","8,752,023",2018,D'Angelo Russell - 2018
2018/19,Davis Bertans,"7,000,000","8,727,464",2018,Davis Bertans - 2018
2018/19,Ersan Ilyasova,"7,000,000","8,727,464",2018,Ersan Ilyasova - 2018
2018/19,Langston Galloway,"7,000,000","8,727,464",2018,Langston Galloway - 2018
2018/19,Jeremy Lamb,"7,000,000","8,727,464",2018,Jeremy Lamb - 2018
2018/19,Al-Farouq Aminu,"6,957,105","8,673,983",2018,Al-Farouq Aminu - 2018
2018/19,Jayson Tatum,"6,700,800","8,354,427",2018,Jayson Tatum - 2018
2018/19,Luka Doncic,"6,569,040","8,190,151",2018,Luka Doncic - 2018
2018/19,Nemanja Bjelica,"6,500,000","8,104,073",2018,Nemanja Bjelica - 2018
2018/19,Mario Hezonja,"6,500,000","8,104,073",2018,Mario Hezonja - 2018
2018/19,Ben Simmons,"6,434,520","8,022,434",2018,Ben Simmons - 2018
2018/19,Milos Teodosic,"6,300,000","7,854,717",2018,Milos Teodosic - 2018
2018/19,Dewayne Dedmon,"6,300,000","7,854,717",2018,Dewayne Dedmon - 2018
2018/19,Marco Belinelli,"6,153,846","7,672,495",2018,Marco Belinelli - 2018
2018/19,Wesley Johnson,"6,134,000","7,647,752",2018,Wesley Johnson - 2018
2018/19,Josh Jackson,"6,041,520","7,532,450",2018,Josh Jackson - 2018
2018/19,Jonathon Simmons,"6,000,000","7,480,683",2018,Jonathon Simmons - 2018
2018/19,Montrezl Harrell,"6,000,000","7,480,683",2018,Montrezl Harrell - 2018
2018/19,Ishmael Smith,"6,000,000","7,480,683",2018,Ishmael Smith - 2018
2018/19,Jaren Jackson Jr,"5,922,720","7,384,332",2018,Jaren Jackson Jr - 2018
2018/19,Brandon Ingram,"5,757,120","7,177,865",2018,Brandon Ingram - 2018
2018/19,Anthony Tolliver,"5,750,000","7,168,988",2018,Anthony Tolliver - 2018
2018/19,Kristaps Porzingis,"5,697,054","7,102,976",2018,Kristaps Porzingis - 2018
2018/19,Deron Williams,"5,474,787","6,825,858",2018,Deron Williams - 2018
2018/19,De'Aaron Fox,"5,470,920","6,821,036",2018,De'Aaron Fox - 2018
2018/19,Ben McLemore,"5,460,000","6,807,422",2018,Ben McLemore - 2018
2018/19,Patrick Patterson,"5,451,600","6,796,949",2018,Patrick Patterson - 2018
2018/19,Jason Smith,"5,450,000","6,794,954",2018,Jason Smith - 2018
2018/19,Marcus Morris,"5,375,000","6,701,445",2018,Marcus Morris - 2018
2018/19,Trae Young,"5,363,280","6,686,833",2018,Trae Young - 2018
2018/19,DeMarcus Cousins,"5,337,000","6,654,068",2018,DeMarcus Cousins - 2018
2018/19,Josh Smith,"5,331,729","6,647,496",2018,Josh Smith - 2018
2018/19,Alexis Ajinca,"5,285,394","6,589,726",2018,Alexis Ajinca - 2018
2018/19,Thabo Sefolosha,"5,250,000","6,545,598",2018,Thabo Sefolosha - 2018
2018/19,Aron Baynes,"5,193,600","6,475,279",2018,Aron Baynes - 2018
2018/19,Jaylen Brown,"5,169,960","6,445,805",2018,Jaylen Brown - 2018
2018/19,Patrick Beverley,"5,027,028","6,267,601",2018,Patrick Beverley - 2018
2018/19,Mike Muscala,"5,000,000","6,233,903",2018,Mike Muscala - 2018
2018/19,Dirk Nowitzki,"5,000,000","6,233,903",2018,Dirk Nowitzki - 2018
2018/19,Tony Parker,"5,000,000","6,233,903",2018,Tony Parker - 2018
2018/19,Jonathan Isaac,"4,969,080","6,195,352",2018,Jonathan Isaac - 2018
2018/19,Mo Bamba,"4,871,280","6,073,417",2018,Mo Bamba - 2018
2018/19,Jamal Crawford,"4,698,113","5,857,515",2018,Jamal Crawford - 2018
2018/19,Ron Baker,"4,697,823","5,857,154",2018,Ron Baker - 2018
2018/19,Willie Cauley-Stein,"4,696,874","5,855,971",2018,Willie Cauley-Stein - 2018
2018/19,Dragan Bender,"4,661,280","5,811,593",2018,Dragan Bender - 2018
2018/19,Lauri Markkanen,"4,536,120","5,655,546",2018,Lauri Markkanen - 2018
2018/19,Justin Holiday,"4,500,000","5,610,512",2018,Justin Holiday - 2018
2018/19,Lance Stephenson,"4,449,000","5,546,926",2018,Lance Stephenson - 2018
2018/19,Kyle O'Quinn,"4,449,000","5,546,926",2018,Kyle O'Quinn - 2018
2018/19,Ed Davis,"4,449,000","5,546,926",2018,Ed Davis - 2018
2018/19,Wendell Carter,"4,446,840","5,544,233",2018,Wendell Carter - 2018
2018/19,Alex Len,"4,350,000","5,423,495",2018,Alex Len - 2018
2018/19,Mike Scott,"4,320,500","5,386,715",2018,Mike Scott - 2018
2018/19,Luc Mbah a Moute,"4,320,500","5,386,715",2018,Luc Mbah a Moute - 2018
2018/19,Emmanuel Mudiay,"4,294,479","5,354,273",2018,Emmanuel Mudiay - 2018
2018/19,Kris Dunn,"4,221,000","5,262,660",2018,Kris Dunn - 2018
2018/19,Frank Ntilikina,"4,155,720","5,181,271",2018,Frank Ntilikina - 2018
2018/19,Glenn Robinson III,"4,075,000","5,080,630",2018,Glenn Robinson III - 2018
2018/19,Collin Sexton,"4,073,760","5,079,084",2018,Collin Sexton - 2018
2018/19,Al Jefferson,"4,000,000","4,987,122",2018,Al Jefferson - 2018
2018/19,Stanley Johnson,"3,940,401","4,912,815",2018,Stanley Johnson - 2018
2018/19,Buddy Hield,"3,833,760","4,779,857",2018,Buddy Hield - 2018
2018/19,Dennis Smith,"3,819,960","4,762,652",2018,Dennis Smith - 2018
2018/19,Jodie Meeks,"3,774,176","4,705,568",2018,Jodie Meeks - 2018
2018/19,Kevin Knox,"3,744,840","4,668,993",2018,Kevin Knox - 2018
2018/19,Jose Juan Barea,"3,710,850","4,626,615",2018,Jose Juan Barea - 2018
2018/19,Alex Abrines,"3,667,645","4,572,748",2018,Alex Abrines - 2018
2018/19,Nenê,"3,651,480","4,552,594",2018,Nenê - 2018
2018/19,Zach Collins,"3,628,920","4,524,467",2018,Zach Collins - 2018
2018/19,Frank Kaminsky,"3,627,842","4,523,123",2018,Frank Kaminsky - 2018
2018/19,Mikal Bridges,"3,557,400","4,435,297",2018,Mikal Bridges - 2018
2018/19,Michael Beasley,"3,500,000","4,363,732",2018,Michael Beasley - 2018
2018/19,Jamal Murray,"3,499,800","4,363,482",2018,Jamal Murray - 2018
2018/19,Rodney Hood,"3,472,887","4,329,928",2018,Rodney Hood - 2018
2018/19,Justise Winslow,"3,448,926","4,300,054",2018,Justise Winslow - 2018
2018/19,Malik Monk,"3,447,480","4,298,251",2018,Malik Monk - 2018
2018/19,Cameron Payne,"3,440,356","4,289,368",2018,Cameron Payne - 2018
2018/19,Allonzo Trier,"3,382,000","4,216,612",2018,Allonzo Trier - 2018
2018/19,Brook Lopez,"3,382,000","4,216,612",2018,Brook Lopez - 2018
2018/19,Shai Gilgeous-Alexander,"3,375,360","4,208,333",2018,Shai Gilgeous-Alexander - 2018
2018/19,Trey Lyles,"3,364,249","4,194,480",2018,Trey Lyles - 2018
2018/19,Ekpe Udoh,"3,360,000","4,189,182",2018,Ekpe Udoh - 2018
2018/19,Devin Booker,"3,314,365","4,132,286",2018,Devin Booker - 2018
2018/19,Myles Turner,"3,294,994","4,108,134",2018,Myles Turner - 2018
2018/19,Luke Kennard,"3,275,280","4,083,555",2018,Luke Kennard - 2018
2018/19,Troy Daniels,"3,258,539","4,062,683",2018,Troy Daniels - 2018
2018/19,Kelly Oubre,"3,208,630","4,000,457",2018,Kelly Oubre - 2018
2018/19,Miles Bridges,"3,206,640","3,997,976",2018,Miles Bridges - 2018
2018/19,Marquese Chriss,"3,206,160","3,997,378",2018,Marquese Chriss - 2018
2018/19,Tomas Satoransky,"3,129,187","3,901,409",2018,Tomas Satoransky - 2018
2018/19,Bryn Forbes,"3,125,000","3,896,189",2018,Bryn Forbes - 2018
2018/19,Donovan Mitchell,"3,111,480","3,879,332",2018,Donovan Mitchell - 2018
2018/19,Terry Rozier,"3,050,389","3,803,165",2018,Terry Rozier - 2018
2018/19,Jerome Robinson,"3,050,160","3,802,880",2018,Jerome Robinson - 2018
2018/19,Yogi Ferrell,"3,000,000","3,740,341",2018,Yogi Ferrell - 2018
2018/19,Elfrid Payton,"3,000,000","3,740,341",2018,Elfrid Payton - 2018
2018/19,Bam Adebayo,"2,955,840","3,685,284",2018,Bam Adebayo - 2018
2018/19,Jakob Poeltl,"2,947,320","3,674,661",2018,Jakob Poeltl - 2018
2018/19,Michael Porter,"2,894,160","3,608,382",2018,Michael Porter - 2018
2018/19,Andrew Nicholson,"2,844,429","3,546,378",2018,Andrew Nicholson - 2018
2018/19,Justin Jackson,"2,807,880","3,500,810",2018,Justin Jackson - 2018
2018/19,Thon Maker,"2,799,720","3,490,636",2018,Thon Maker - 2018
2018/19,Seth Curry,"2,795,000","3,484,751",2018,Seth Curry - 2018
2018/19,Cedi Osman,"2,775,000","3,459,816",2018,Cedi Osman - 2018
2018/19,Sam Dekker,"2,760,094","3,441,231",2018,Sam Dekker - 2018
2018/19,Troy Brown,"2,752,680","3,431,988",2018,Troy Brown - 2018
2018/19,Justin Patton,"2,667,600","3,325,911",2018,Justin Patton - 2018
2018/19,Guerschon Yabusele,"2,667,600","3,325,911",2018,Guerschon Yabusele - 2018
2018/19,Domantas Sabonis,"2,659,800","3,316,187",2018,Domantas Sabonis - 2018
2018/19,Jerian Grant,"2,639,313","3,290,644",2018,Jerian Grant - 2018
2018/19,Zhaire Smith,"2,615,160","3,260,530",2018,Zhaire Smith - 2018
2018/19,Corey Brewer,"2,559,925","3,191,663",2018,Corey Brewer - 2018
2018/19,Delon Wright,"2,536,898","3,162,955",2018,Delon Wright - 2018
2018/19,DJ Wilson,"2,534,280","3,159,691",2018,DJ Wilson - 2018
2018/19,Dario Saric,"2,526,840","3,150,415",2018,Dario Saric - 2018
2018/19,Taurean Prince,"2,526,840","3,150,415",2018,Taurean Prince - 2018
2018/19,Justin Anderson,"2,516,047","3,136,958",2018,Justin Anderson - 2018
2018/19,Shelvin Mack,"2,512,601","3,132,661",2018,Shelvin Mack - 2018
2018/19,Manu Ginobili,"2,500,000","3,116,951",2018,Manu Ginobili - 2018
2018/19,Reggie Bullock,"2,500,000","3,116,951",2018,Reggie Bullock - 2018
2018/19,Bobby Portis,"2,494,346","3,109,902",2018,Bobby Portis - 2018
2018/19,Dante Cunningham,"2,487,000","3,100,743",2018,Dante Cunningham - 2018
2018/19,Donte DiVincenzo,"2,484,360","3,097,451",2018,Donte DiVincenzo - 2018
2018/19,Rondae Hollis-Jefferson,"2,470,356","3,079,991",2018,Rondae Hollis-Jefferson - 2018
2018/19,Tyus Jones,"2,444,052","3,047,196",2018,Tyus Jones - 2018
2018/19,Jarell Martin,"2,416,221","3,012,497",2018,Jarell Martin - 2018
2018/19,Greg Monroe,"2,410,167","3,004,947",2018,Greg Monroe - 2018
2018/19,TJ Leaf,"2,407,560","3,001,699",2018,TJ Leaf - 2018
2018/19,Georgios Papagiannis,"2,400,480","2,992,871",2018,Georgios Papagiannis - 2018
2018/19,Jeff Green,"2,393,887","2,984,651",2018,Jeff Green - 2018
2018/19,Amir Johnson,"2,393,887","2,984,651",2018,Amir Johnson - 2018
2018/19,Raymond Felton,"2,393,887","2,984,651",2018,Raymond Felton - 2018
2018/19,Dwyane Wade,"2,393,887","2,984,651",2018,Dwyane Wade - 2018
2018/19,Udonis Haslem,"2,393,887","2,984,651",2018,Udonis Haslem - 2018
2018/19,JaVale McGee,"2,393,887","2,984,651",2018,JaVale McGee - 2018
2018/19,Zaza Pachulia,"2,393,887","2,984,651",2018,Zaza Pachulia - 2018
2018/19,Jose Calderon,"2,393,887","2,984,651",2018,Jose Calderon - 2018
2018/19,Devin Harris,"2,393,887","2,984,651",2018,Devin Harris - 2018
2018/19,Channing Frye,"2,393,887","2,984,651",2018,Channing Frye - 2018
2018/19,Carmelo Anthony,"2,393,887","2,984,651",2018,Carmelo Anthony - 2018
2018/19,Vince Carter,"2,393,887","2,984,651",2018,Vince Carter - 2018
2018/19,Lonnie Walker,"2,360,160","2,942,601",2018,Lonnie Walker - 2018
2018/19,John Collins,"2,299,080","2,866,448",2018,John Collins - 2018
2018/19,Denzel Valentine,"2,280,600","2,843,407",2018,Denzel Valentine - 2018
2018/19,Larry Nance Jr,"2,272,390","2,833,171",2018,Larry Nance Jr - 2018
2018/19,Kevin Huerter,"2,250,960","2,806,453",2018,Kevin Huerter - 2018
2018/19,Monta Ellis,"2,245,400","2,799,521",2018,Monta Ellis - 2018
2018/19,Harry Giles,"2,207,040","2,751,694",2018,Harry Giles - 2018
2018/19,Darius Miller,"2,205,000","2,749,151",2018,Darius Miller - 2018
2018/19,Henry Ellenson,"2,199,311","2,742,058",2018,Henry Ellenson - 2018
2018/19,Derrick Rose,"2,176,260","2,713,318",2018,Derrick Rose - 2018
2018/19,Omri Casspi,"2,176,260","2,713,318",2018,Omri Casspi - 2018
2018/19,Juan Hernangomez,"2,166,360","2,700,975",2018,Juan Hernangomez - 2018
2018/19,Quincy Pondexter,"2,165,481","2,699,879",2018,Quincy Pondexter - 2018
2018/19,Jonas Jerebko,"2,165,481","2,699,879",2018,Jonas Jerebko - 2018
