id_other_stats,game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
89,21800329,0,1610612743,DEN,Denver,44,14,11,17,4,3,1,12,7,8,1610612757,POR,Portland,66,18,12,1,0,14,7,14
90,21800348,0,1610612745,HOU,Houston,40,5,16,19,8,9,0,20,9,21,1610612750,MIN,Minnesota,44,14,7,14,0,14,14,12
91,21800343,0,1610612760,OKC,Oklahoma City,56,9,10,35,1,1,0,17,7,18,1610612765,DET,Detroit,46,9,9,2,2,17,12,23
92,21800347,0,1610612743,DEN,Denver,46,23,12,12,9,8,0,20,10,18,1610612761,TOR,Toronto,38,2,6,4,0,17,5,14
93,21800346,0,1610612764,WAS,Washington,48,10,17,16,2,2,0,10,8,13,1610612752,NYK,New York,38,20,5,11,0,16,10,18
94,21800362,0,1610612750,MIN,Minnesota,52,14,13,19,18,8,0,15,12,24,1610612766,CHA,Charlotte,46,17,11,15,0,10,7,10
95,21800365,0,1610612752,NYK,New York,36,17,7,0,0,0,1,17,4,20,1610612738,BOS,Boston,58,4,26,28,0,9,8,12
96,21800368,0,1610612743,DEN,Denver,52,21,14,5,3,7,0,9,9,12,1610612766,CHA,Charlotte,36,8,7,16,1,10,12,10
97,21800373,0,1610612741,CHI,Chicago,46,6,19,11,15,7,1,21,6,23,1610612760,OKC,Oklahoma City,56,10,22,10,0,22,9,28
98,21800380,0,1610612737,ATL,Atlanta,48,11,24,17,5,2,0,18,11,14,1610612743,DEN,Denver,46,19,10,15,0,15,13,17
99,21800382,0,1610612751,BKN,Brooklyn,60,19,7,19,3,5,4,16,17,23,1610612752,NYK,New York,48,15,4,4,1,13,9,8
100,21800383,0,1610612738,BOS,Boston,44,22,13,58,0,0,0,7,3,6,1610612741,CHI,Chicago,40,9,8,0,2,17,8,27
101,21800389,0,1610612766,CHA,Charlotte,54,9,12,28,0,2,0,12,10,12,1610612752,NYK,New York,40,12,10,0,0,17,6,27
102,21800393,0,1610612738,BOS,Boston,38,17,15,22,7,4,2,15,6,13,1610612740,NOP,New Orleans,50,7,9,2,0,13,9,15
103,21800398,0,1610612763,MEM,Memphis,48,4,4,7,15,9,0,14,2,18,1610612743,DEN,Denver,54,10,9,8,1,14,5,9
104,21800400,0,1610612750,MIN,Minnesota,54,18,13,0,0,1,0,16,8,27,1610612744,GSW,Golden State,22,20,13,16,1,17,8,14
105,21800396,0,1610612760,OKC,Oklahoma City,62,20,20,29,0,0,1,18,9,23,1610612762,UTA,Utah,62,15,9,0,0,20,8,23
106,21800409,0,1610612738,BOS,Boston,56,24,4,7,18,9,1,14,10,14,1610612764,WAS,Washington,60,8,19,11,0,15,9,11
107,21800411,0,1610612740,NOP,New Orleans,74,18,13,9,17,12,1,18,7,21,1610612760,OKC,Oklahoma City,48,18,17,4,0,18,11,17
108,21800414,0,1610612758,SAC,Sacramento,52,9,33,17,8,7,1,11,9,15,1610612750,MIN,Minnesota,70,17,15,4,0,11,9,10
109,21800420,0,1610612738,BOS,Boston,42,14,18,29,2,0,1,22,9,34,1610612737,ATL,Atlanta,38,16,24,1,0,24,13,44
110,21800421,0,1610612752,NYK,New York,50,9,19,6,8,2,0,10,15,8,1610612766,CHA,Charlotte,48,11,13,21,0,16,6,28
111,21800426,0,1610612743,DEN,Denver,52,18,6,12,4,2,0,20,5,16,1610612760,OKC,Oklahoma City,52,12,5,4,0,13,11,14
112,21800431,0,1610612765,DET,Detroit,44,10,4,16,17,9,2,20,9,20,1610612738,BOS,Boston,48,17,8,4,0,14,11,26
113,21800434,0,1610612760,OKC,Oklahoma City,54,8,20,17,5,4,1,12,7,10,1610612746,LAC,LA,30,5,10,2,0,26,8,22
114,21800435,0,1610612756,PHX,Phoenix,50,15,19,12,17,9,1,16,11,8,1610612750,MIN,Minnesota,42,9,15,6,0,11,12,16
115,21800438,0,1610612754,IND,Indiana,48,21,6,12,11,10,0,13,9,11,1610612752,NYK,New York,36,10,8,5,2,17,13,11
116,21800447,0,1610612760,OKC,Oklahoma City,60,12,27,30,2,0,1,20,7,21,1610612741,CHI,Chicago,56,11,9,6,2,25,6,24
117,21800446,0,1610612750,MIN,Minnesota,66,20,14,36,2,0,0,11,10,13,1610612758,SAC,Sacramento,36,12,17,1,0,15,6,21
118,21800444,0,1610612756,PHX,Phoenix,60,8,11,23,6,4,0,7,11,10,1610612752,NYK,New York,52,21,11,9,0,11,10,20
119,21800454,0,1610612743,DEN,Denver,64,9,15,10,15,10,1,16,8,17,1610612742,DAL,Dallas,44,8,12,7,0,8,9,8
120,21800458,0,1610612738,BOS,Boston,34,13,25,12,3,3,0,16,3,17,1610612756,PHX,Phoenix,44,20,12,13,0,17,12,28
121,21800463,0,1610612765,DET,Detroit,42,12,9,12,12,10,0,13,17,21,1610612750,MIN,Minnesota,54,18,12,14,0,7,12,10
122,21800457,0,1610612755,PHI,Philadelphia,52,9,18,26,3,4,1,10,3,14,1610612752,NYK,New York,44,4,13,3,0,8,10,12
123,21800466,0,1610612758,SAC,Sacramento,40,7,22,6,1,7,0,13,8,18,1610612760,OKC,Oklahoma City,60,17,19,23,1,18,9,24
124,21800475,0,1610612759,SAS,San Antonio,42,9,15,30,2,1,0,16,5,20,1610612750,MIN,Minnesota,46,13,11,1,0,12,7,18
125,21800472,0,1610612752,NYK,New York,52,4,11,15,3,3,1,13,6,19,1610612737,ATL,Atlanta,64,12,12,7,0,16,9,5
126,21800473,0,1610612738,BOS,Boston,42,10,21,9,1,0,0,5,10,5,1610612749,MIL,Milwaukee,46,8,14,26,1,21,9,28
127,21800479,0,1610612743,DEN,Denver,50,18,10,1,2,1,0,9,4,14,1610612746,LAC,LA,80,27,18,27,3,18,4,19
128,21800498,0,1610612745,HOU,Houston,54,23,13,9,15,12,1,20,9,21,1610612760,OKC,Oklahoma City,64,9,19,11,0,15,6,19
129,21800497,0,1610612749,MIL,Milwaukee,54,8,12,19,4,3,0,8,11,7,1610612752,NYK,New York,42,16,7,6,0,14,7,15
130,21800507,0,1610612741,CHI,Chicago,64,10,10,0,0,0,0,10,3,14,1610612750,MIN,Minnesota,52,16,10,31,1,12,12,14
131,21800510,0,1610612759,SAS,San Antonio,48,10,15,18,8,11,0,10,5,12,1610612743,DEN,Denver,28,16,15,6,1,13,14,9
132,21800513,0,1610612752,NYK,New York,28,10,2,10,7,1,0,10,12,9,1610612749,MIL,Milwaukee,52,20,11,16,0,15,9,14
133,21800512,0,1610612738,BOS,Boston,44,8,10,2,5,6,0,11,6,12,1610612745,HOU,Houston,46,18,9,17,0,13,4,12
134,21800525,0,1610612760,OKC,Oklahoma City,76,18,17,17,22,8,1,17,7,24,1610612756,PHX,Phoenix,48,12,13,6,0,17,10,19
135,21800524,0,1610612743,DEN,Denver,48,15,5,18,2,2,0,20,7,16,1610612759,SAS,San Antonio,54,16,8,2,0,10,10,9
136,21800522,0,1610612737,ATL,Atlanta,62,21,20,22,9,4,1,24,13,25,1610612750,MIN,Minnesota,54,17,13,9,0,14,13,20
