Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,id,Player_Temporada,Salario
109,Al Horford,32,BOS,C,68,68,1973,20.2,0.605,0.281,0.131,6.5,18.3,12.4,21.2,1.4,3.9,11.8,19.0,4.5,2.8,7.4,0.179,3.3,1.9,5.1,3.6,0,horfoal01,2018,201143,Al Horford - 2018,28928710.0
110,Monte Morris,23,DEN,PG,82,6,1970,16.2,0.577,0.323,0.115,1.9,8.8,5.3,21.7,1.8,0.2,6.6,17.1,4.4,1.8,6.2,0.151,1.1,0.3,1.5,1.7,6MOY-9,morrimo01,2018,1628420,Monte Morris - 2018,1349383.0
117,Terrance Ferguson,20,OKC,SG,74,74,1931,6.4,0.566,0.673,0.118,1.7,6.0,3.8,4.8,1.0,0.7,9.4,10.6,1.2,1.6,2.8,0.07,-3.9,0.1,-3.8,-0.9,0,fergute01,2018,1628390,Terrance Ferguson - 2018,2118840.0
119,Jaylen Brown,22,BOS,SG,74,25,1913,13.6,0.547,0.348,0.255,3.6,13.9,8.7,7.7,1.7,1.5,10.1,22.2,0.7,2.3,2.9,0.073,-1.6,-0.4,-2.1,0.0,0,brownja02,2018,1627759,Jaylen Brown - 2018,5169960.0
124,Paul Millsap,33,DEN,PF,70,65,1895,17.9,0.57,0.239,0.374,8.7,20.2,14.4,10.6,2.2,2.5,10.9,19.6,3.2,2.9,6.1,0.155,0.7,1.0,1.7,1.8,0,millspa01,2018,200794,Paul Millsap - 2018,29230769.0
127,Malik Beasley,22,DEN,SG,81,18,1879,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0,6MOY-11,beaslma01,2018,1627736,Malik Beasley - 2018,1773840.0
129,Gordon Hayward,28,BOS,PF,72,18,1863,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.1,2.6,2.2,4.8,0.123,0.4,0.4,0.8,1.3,0,haywago01,2018,202330,Gordon Hayward - 2018,31214295.0
140,Terry Rozier,24,BOS,PG,79,14,1791,13.0,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.7,0.9,2.2,3.1,0.083,-0.7,0.5,-0.2,0.8,0,roziete01,2018,1626179,Terry Rozier - 2018,3050389.0
145,Josh Okogie,20,MIN,SG,74,52,1757,9.3,0.492,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,-0.1,1.4,1.2,0.034,-3.5,0.4,-3.1,-0.5,ROY-8,okogijo01,2018,1629006,Josh Okogie - 2018,2163600.0
148,Mason Plumlee,28,DEN,C,82,17,1731,17.8,0.602,0.023,0.448,10.3,22.5,16.4,19.5,1.9,3.9,19.2,16.2,2.9,2.9,5.8,0.16,-0.5,2.6,2.1,1.8,0,plumlma01,2018,203486,Mason Plumlee - 2018,12917808.0
151,Noah Vonleh,23,NYK,PF,68,57,1722,13.9,0.561,0.311,0.355,6.7,25.8,16.0,11.1,1.3,2.5,14.7,14.8,1.5,1.7,3.2,0.09,-1.2,0.5,-0.7,0.6,0,vonleno01,2018,203943,Noah Vonleh - 2018,1621415.0
156,Taj Gibson,33,MIN,PF,70,57,1686,17.8,0.612,0.063,0.33,10.8,18.3,14.5,7.3,1.5,2.0,10.6,17.2,3.7,1.4,5.1,0.144,0.3,-0.4,-0.1,0.8,0,gibsota01,2018,201959,Taj Gibson - 2018,14000000.0
164,Enes Freedom,26,2TM,C,67,31,1640,22.3,0.594,0.05,0.288,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,2.5,-1.5,1.0,1.2,0,kanteen01,2018,202683,Enes Freedom - 2018,
164,Enes Freedom,26,NYK,C,44,23,1128,21.8,0.585,0.047,0.276,15.5,27.5,21.4,13.1,0.8,1.3,13.1,22.9,2.4,0.9,3.4,0.143,2.5,-1.6,0.9,0.8,0,kanteen01,2018,202683,Enes Freedom - 2018,
164,Enes Freedom,26,POR,C,23,8,512,23.5,0.614,0.056,0.316,18.3,22.8,20.6,9.9,1.3,1.4,13.7,23.4,1.5,0.6,2.1,0.196,2.6,-1.3,1.3,0.4,0,kanteen01,2018,202683,Enes Freedom - 2018,
165,Gary Harris,24,DEN,SG,57,48,1639,12.2,0.526,0.38,0.226,2.7,7.9,5.3,11.0,1.6,1.0,8.9,20.0,1.1,1.5,2.6,0.076,-1.2,-0.4,-1.6,0.2,0,harriga01,2018,203914,Gary Harris - 2018,16517857.0
169,Emmanuel Mudiay,22,NYK,PG,59,42,1607,14.6,0.531,0.284,0.251,2.1,10.9,6.4,24.2,1.3,1.0,14.6,25.6,0.1,0.7,0.8,0.023,-0.2,-1.8,-2.0,0.0,0,mudiaem01,2018,1626144,Emmanuel Mudiay - 2018,4294479.0
175,Tyus Jones,22,MIN,PG,68,23,1560,13.7,0.491,0.283,0.155,1.6,7.7,4.6,28.3,2.5,0.3,9.0,14.1,2.1,0.9,3.0,0.091,-0.9,0.3,-0.6,0.6,0,jonesty01,2018,1626145,Tyus Jones - 2018,2444052.0
181,Dennis Smith Jr.,21,2TM,PG,53,50,1508,12.3,0.502,0.32,0.24,2.2,8.7,5.5,27.3,2.1,1.1,17.6,24.8,-1.2,1.2,0.0,0.001,-1.6,-0.4,-1.9,0.0,0,smithde03,2018,1628372,Dennis Smith Jr. - 2018,
181,Dennis Smith Jr.,21,DAL,PG,32,32,908,11.5,0.527,0.35,0.23,2.1,9.3,5.7,24.1,2.1,1.0,20.3,23.3,-0.7,0.9,0.2,0.01,-2.1,0.0,-2.1,0.0,0,smithde03,2018,1628372,Dennis Smith Jr. - 2018,
181,Dennis Smith Jr.,21,NYK,PG,21,18,600,13.5,0.473,0.283,0.253,2.4,7.9,5.1,32.2,2.2,1.3,14.2,27.0,-0.5,0.3,-0.2,-0.014,-0.8,-0.9,-1.7,0.0,0,smithde03,2018,1628372,Dennis Smith Jr. - 2018,
182,Torrey Craig,28,DEN,SF,75,37,1503,10.4,0.547,0.519,0.193,6.4,12.6,9.5,6.3,1.2,2.7,10.1,12.4,1.4,1.7,3.0,0.096,-2.0,0.2,-1.9,0.0,0,craigto01,2018,1628470,Torrey Craig - 2018,2000000.0
190,Allonzo Trier,23,NYK,SG,64,3,1459,12.2,0.564,0.255,0.431,2.2,12.2,7.1,12.9,0.9,0.8,15.8,21.5,0.4,0.5,0.9,0.03,-1.6,-1.5,-3.1,-0.4,0,trieral01,2018,1629019,Allonzo Trier - 2018,3382000.0
