"Temporada","Jugador","Salario","Salario Actual Ajustado a la Inflación"
"2018/19 ","Wesley Johnson","6,134,000","7,647,752"
"2018/19 ","Josh Jackson","6,041,520","7,532,450"
"2018/19 ","Jonathon Simmons","6,000,000","7,480,683"
"2018/19 ","Montrezl Harrell","6,000,000","7,480,683"
"2018/19 ","Ishmael Smith","6,000,000","7,480,683"
"2018/19 ","Jaren Jackson Jr","5,922,720","7,384,332"
"2018/19 ","Brandon Ingram","5,757,120","7,177,865"
"2018/19 ","Anthony Tolliver","5,750,000","7,168,988"
"2018/19 ","Kristaps Porzingis","5,697,054","7,102,976"
"2018/19 ","Deron Williams","5,474,787","6,825,858"
"2018/19 ","De'Aaron Fox","5,470,920","6,821,036"
"2018/19 ","Ben McLemore","5,460,000","6,807,422"
"2018/19 ","Patrick Patterson","5,451,600","6,796,949"
"2018/19 ","Jason Smith","5,450,000","6,794,954"
"2018/19 ","Marcus Morris","5,375,000","6,701,445"
"2018/19 ","Trae Young","5,363,280","6,686,833"
"2018/19 ","DeMarcus Cousins","5,337,000","6,654,068"
"2018/19 ","Josh Smith","5,331,729","6,647,496"
"2018/19 ","Alexis Ajinca","5,285,394","6,589,726"
"2018/19 ","Thabo Sefolosha","5,250,000","6,545,598"
"2018/19 ","Aron Baynes","5,193,600","6,475,279"
"2018/19 ","Jaylen Brown","5,169,960","6,445,805"
"2018/19 ","Patrick Beverley","5,027,028","6,267,601"
"2018/19 ","Mike Muscala","5,000,000","6,233,903"
"2018/19 ","Dirk Nowitzki","5,000,000","6,233,903"
"2018/19 ","Tony Parker","5,000,000","6,233,903"
"2018/19 ","Jonathan Isaac","4,969,080","6,195,352"
"2018/19 ","Mo Bamba","4,871,280","6,073,417"
"2018/19 ","Jamal Crawford","4,698,113","5,857,515"
"2018/19 ","Ron Baker","4,697,823","5,857,154"
"2018/19 ","Willie Cauley-Stein","4,696,874","5,855,971"
"2018/19 ","Dragan Bender","4,661,280","5,811,593"
"2018/19 ","Lauri Markkanen","4,536,120","5,655,546"
"2018/19 ","Justin Holiday","4,500,000","5,610,512"
"2018/19 ","Lance Stephenson","4,449,000","5,546,926"
"2018/19 ","Kyle O'Quinn","4,449,000","5,546,926"
"2018/19 ","Ed Davis","4,449,000","5,546,926"
"2018/19 ","Wendell Carter","4,446,840","5,544,233"
"2018/19 ","Alex Len","4,350,000","5,423,495"
"2018/19 ","Mike Scott","4,320,500","5,386,715"
"2018/19 ","Luc Mbah a Moute","4,320,500","5,386,715"
"2018/19 ","Emmanuel Mudiay","4,294,479","5,354,273"
"2018/19 ","Kris Dunn","4,221,000","5,262,660"
"2018/19 ","Frank Ntilikina","4,155,720","5,181,271"
"2018/19 ","Glenn Robinson III","4,075,000","5,080,630"
"2018/19 ","Collin Sexton","4,073,760","5,079,084"
"2018/19 ","Al Jefferson","4,000,000","4,987,122"
"2018/19 ","Stanley Johnson","3,940,401","4,912,815"
"2018/19 ","Buddy Hield","3,833,760","4,779,857"
"2018/19 ","Dennis Smith","3,819,960","4,762,652"
"2018/19 ","Jodie Meeks","3,774,176","4,705,568"
"2018/19 ","Kevin Knox","3,744,840","4,668,993"
"2018/19 ","Jose Juan Barea","3,710,850","4,626,615"
"2018/19 ","Alex Abrines","3,667,645","4,572,748"
"2018/19 ","Nenê","3,651,480","4,552,594"
"2018/19 ","Zach Collins","3,628,920","4,524,467"
"2018/19 ","Frank Kaminsky","3,627,842","4,523,123"
"2018/19 ","Mikal Bridges","3,557,400","4,435,297"
"2018/19 ","Michael Beasley","3,500,000","4,363,732"
"2018/19 ","Jamal Murray","3,499,800","4,363,482"
"2018/19 ","Rodney Hood","3,472,887","4,329,928"
"2018/19 ","Justise Winslow","3,448,926","4,300,054"
"2018/19 ","Malik Monk","3,447,480","4,298,251"
