game_id,league_id,team_id_home,team_abbreviation_home,team_city_home,pts_paint_home,pts_2nd_chance_home,pts_fb_home,largest_lead_home,lead_changes,times_tied,team_turnovers_home,total_turnovers_home,team_rebounds_home,pts_off_to_home,team_id_away,team_abbreviation_away,team_city_away,pts_paint_away,pts_2nd_chance_away,pts_fb_away,largest_lead_away,team_turnovers_away,total_turnovers_away,team_rebounds_away,pts_off_to_away
22100856,0,1610612738,BOS,Boston,50,14,18,13,1,2,0,12,3,11,1610612737,ATL,Atlanta,36,15,5,15,0,13,8,11
22100860,0,1610612760,OKC,Oklahoma City,64,16,15,8,13,12,0,11,13,17,1610612752,NYK,New York,50,16,14,11,0,14,9,19
22100871,0,1610612766,CHA,Charlotte,56,16,11,13,3,4,0,14,8,15,1610612750,MIN,Minnesota,56,20,17,12,1,14,23,14
22100869,0,1610612738,BOS,Boston,36,11,20,51,0,0,2,11,5,19,1610612755,PHI,Philadelphia,24,12,15,0,0,9,7,12
22100881,0,1610612760,OKC,Oklahoma City,54,12,7,4,9,5,0,8,12,9,1610612759,SAS,San Antonio,60,15,9,16,1,14,10,10
22100880,0,1610612750,MIN,Minnesota,34,7,15,6,6,4,3,17,9,18,1610612761,TOR,Toronto,54,10,14,13,0,13,8,15
22100895,0,1610612758,SAC,Sacramento,52,8,7,2,2,3,0,15,4,18,1610612743,DEN,Denver,56,11,10,22,1,17,10,10
22100890,0,1610612751,BKN,Brooklyn,46,15,7,0,0,0,1,11,16,13,1610612738,BOS,Boston,54,16,23,29,1,14,6,16
22100892,0,1610612750,MIN,Minnesota,54,22,3,6,11,16,0,12,15,6,1610612763,MEM,Memphis,52,27,14,15,1,16,13,10
22100893,0,1610612760,OKC,Oklahoma City,68,13,9,4,3,6,0,16,4,23,1610612756,PHX,Phoenix,58,3,16,20,1,16,3,18
22100900,0,1610612752,NYK,New York,24,5,8,10,1,1,0,18,10,24,1610612748,MIA,Miami,54,5,20,16,2,10,9,12
22100901,0,1610612755,PHI,Philadelphia,32,10,23,35,2,0,1,12,9,14,1610612750,MIN,Minnesota,48,8,4,5,0,16,8,21
22100911,0,1610612758,SAC,Sacramento,52,5,12,7,10,15,1,13,10,16,1610612743,DEN,Denver,28,8,11,9,3,15,9,20
