Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
209.0,Bones Hyland,21.0,DEN,SG,69.0,4.0,1310.0,14.4,0.558,0.627,0.219,1.2,14.4,8.0,21.2,1.5,1.4,12.1,23.8,1.1,1.3,2.4,0.088,0.3,-0.7,-0.4,0.5,,hylanbo01,2021,Bones Hyland,1630538.0
212.0,Bryn Forbes,28.0,DEN,SG,35.0,1.0,610.0,10.6,0.578,0.593,0.156,1.1,4.3,2.7,8.0,0.6,0.3,8.1,20.3,0.5,0.2,0.7,0.054,-1.1,-3.2,-4.3,-0.4,,forbebr01,2021,Bryn Forbes,1627854.0
224.0,Aleksej Pokusevski,20.0,OKC,PF,61.0,12.0,1233.0,12.0,0.485,0.432,0.11,6.0,20.8,13.3,16.5,1.5,2.9,16.4,20.0,-1.1,1.5,0.4,0.014,-2.7,0.1,-2.6,-0.2,,pokusal01,2021,Aleksej Pokusevski,1630197.0
225.0,Obi Toppin,23.0,NYK,PF,72.0,10.0,1230.0,18.3,0.614,0.357,0.262,5.9,17.7,11.7,10.9,1.0,2.6,9.6,20.8,2.5,1.5,3.9,0.153,1.7,0.3,2.0,1.2,,toppiob01,2021,Obi Toppin,1630167.0
228.0,Naz Reid,22.0,MIN,C,77.0,6.0,1215.0,17.2,0.588,0.349,0.313,8.8,18.0,13.3,8.7,1.6,5.6,13.2,21.4,1.5,1.6,3.2,0.125,-0.5,0.5,0.0,0.6,,reidna01,2021,Naz Reid,1629675.0
230.0,Aaron Wiggins,23.0,OKC,SG,50.0,35.0,1209.0,10.3,0.556,0.409,0.252,4.3,11.0,7.6,8.5,1.2,0.8,12.6,15.3,0.5,0.8,1.2,0.048,-3.4,-0.9,-4.3,-0.7,,wiggiaa01,2021,Aaron Wiggins,1630598.0
235.0,Facundo Campazzo,30.0,DEN,PG,65.0,4.0,1184.0,11.1,0.503,0.652,0.264,2.2,8.6,5.5,24.1,2.6,1.8,16.9,14.7,0.6,1.3,2.0,0.081,-2.1,1.3,-0.8,0.4,,campafa01,2021,Facundo Campazzo,1630267.0
237.0,Taurean Prince,27.0,MIN,PF,69.0,8.0,1177.0,12.4,0.589,0.587,0.21,2.3,13.8,7.9,8.1,1.9,1.9,11.1,17.0,1.0,1.2,2.2,0.09,-1.0,0.0,-0.9,0.3,,princta02,2021,Taurean Prince,1627752.0
253.0,Jeremiah Robinson-Earl,21.0,OKC,C,49.0,36.0,1087.0,11.7,0.526,0.509,0.167,7.0,19.1,13.0,6.7,1.3,1.3,10.1,15.4,0.4,1.0,1.5,0.065,-1.9,-0.4,-2.2,-0.1,,robinje02,2021,Jeremiah Robinson-Earl,1630526.0
254.0,JaMychal Green,31.0,DEN,PF,67.0,8.0,1085.0,14.1,0.587,0.379,0.284,8.6,19.9,14.5,7.6,1.9,2.2,13.4,17.2,1.2,1.4,2.7,0.118,-2.0,0.1,-1.8,0.0,,greenja01,2021,JaMychal Green,203210.0
257.0,Kenrich Williams,27.0,OKC,SF,49.0,0.0,1072.0,13.3,0.532,0.382,0.174,7.1,14.1,10.5,15.3,2.0,0.9,11.9,15.6,0.8,1.0,1.8,0.081,-1.3,1.1,-0.3,0.5,,willike04,2021,Kenrich Williams,1629026.0
