Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional,Temporada,full_name,id
127.0,Malik Beasley,22.0,DEN,SG,81.0,18.0,1879.0,14.2,0.599,0.55,0.09,2.0,9.5,5.8,7.5,1.4,0.5,6.7,18.7,2.9,1.6,4.5,0.115,0.8,-0.7,0.1,1.0,6MOY-11,beaslma01,2018,Malik Beasley,1627736.0
129.0,Gordon Hayward,28.0,BOS,PF,72.0,18.0,1863.0,15.6,0.575,0.364,0.294,2.9,15.5,9.2,18.4,1.6,1.1,12.8,19.1,2.6,2.2,4.8,0.123,0.4,0.4,0.8,1.3,,haywago01,2018,Gordon Hayward,202330.0
140.0,Terry Rozier,24.0,BOS,PG,79.0,14.0,1791.0,13.0,0.501,0.506,0.14,1.9,16.4,9.1,17.7,1.8,1.0,8.8,18.7,0.9,2.2,3.1,0.083,-0.7,0.5,-0.2,0.8,,roziete01,2018,Terry Rozier,1626179.0
145.0,Josh Okogie,20.0,MIN,SG,74.0,52.0,1757.0,9.3,0.492,0.423,0.319,2.5,10.9,6.6,6.9,2.4,1.6,9.8,15.4,-0.1,1.4,1.2,0.034,-3.5,0.4,-3.1,-0.5,ROY-8,okogijo01,2018,Josh Okogie,1629006.0
148.0,Mason Plumlee,28.0,DEN,C,82.0,17.0,1731.0,17.8,0.602,0.023,0.448,10.3,22.5,16.4,19.5,1.9,3.9,19.2,16.2,2.9,2.9,5.8,0.16,-0.5,2.6,2.1,1.8,,plumlma01,2018,Mason Plumlee,203486.0
151.0,Noah Vonleh,23.0,NYK,PF,68.0,57.0,1722.0,13.9,0.561,0.311,0.355,6.7,25.8,16.0,11.1,1.3,2.5,14.7,14.8,1.5,1.7,3.2,0.09,-1.2,0.5,-0.7,0.6,,vonleno01,2018,Noah Vonleh,203943.0
156.0,Taj Gibson,33.0,MIN,PF,70.0,57.0,1686.0,17.8,0.612,0.063,0.33,10.8,18.3,14.5,7.3,1.5,2.0,10.6,17.2,3.7,1.4,5.1,0.144,0.3,-0.4,-0.1,0.8,,gibsota01,2018,Taj Gibson,201959.0
164.0,Enes Freedom,26.0,2TM,C,67.0,31.0,1640.0,22.3,0.594,0.05,0.288,16.4,26.1,21.1,12.1,0.9,1.3,13.3,23.1,3.9,1.6,5.4,0.159,2.5,-1.5,1.0,1.2,,kanteen01,2018,Enes Freedom,202683.0
164.0,Enes Freedom,26.0,NYK,C,44.0,23.0,1128.0,21.8,0.585,0.047,0.276,15.5,27.5,21.4,13.1,0.8,1.3,13.1,22.9,2.4,0.9,3.4,0.143,2.5,-1.6,0.9,0.8,,kanteen01,2018,Enes Freedom,202683.0
164.0,Enes Freedom,26.0,POR,C,23.0,8.0,512.0,23.5,0.614,0.056,0.316,18.3,22.8,20.6,9.9,1.3,1.4,13.7,23.4,1.5,0.6,2.1,0.196,2.6,-1.3,1.3,0.4,,kanteen01,2018,Enes Freedom,202683.0
